Date,CM.Block,Large.CM.RedTrap,Heck,Fred,Raff,Raff.2,Hall.Stand,Hall.Pydrin,Bill,Muss1,Muss2,SCM,Bvl.1,Bvl.3,Bvl.4,Bvl.7,PP.1,PP.2,Spur
6/1/1981,67,,0,4,,,0,0,,,,,,,,,,,
6/8/1981,42,,3,1,,,0,0,,,,,,,,,,,
6/15/1981,8,,2,0,,,4,1,,,,,,,,,,,
6/22/1981,0,,0,1,,,3,0,,,,,,,,,,,
6/29/1981,0,,0,0,,,0,0,,,,,,,,,,,
7/6/1981,0,,0,0,,,0,0,,,,,,,,,,,
7/13/1981,0,,0,0,,,1,0,,,,,,,,,,,
7/20/1981,8,,0,0,,,0,0,,,,,,,,,,,
7/27/1981,12,,0,3,,,0,0,,,,,,,,,,,
8/3/1981,33,,0,0,,,0,0,,,,,,,,,,,
8/10/1981,30,,0,2,,,0,0,,,,,,,,,,,
8/17/1981,16,,1,6,,,0,0,,,,,,,,,,,
8/24/1981,5,,2,0,,,0,0,,,,,,,,,,,
8/31/1981,2,,0,1,,,0,0,,,,,,,,,,,
9/8/1981,1,,0,0,,,0,0,,,,,,,,,,,
9/14/1981,2,,0,0,,,0,0,,,,,,,,,,,
9/21/1981,1,,0,1,,,0,0,,,,,,,,,,,
9/28/1981,0,,0,3,,,0,0,,,,,,,,,,,
10/6/1981,0,,2,0,,,0,0,,,,,,,,,,,
10/13/1981,0,,0,0,,,0,0,,,,,,,,,,,
5/28/1982,0,,0,0,,,,,0,0,0,,,,,,,,
6/4/1982,37,,0,4,,,,,3,9,7,,,,,,,,
6/11/1982,5,,5,5,,,,,3,1,3,,,,,,,,
6/18/1982,1,,0,1,,,,,0,0,0,,,,,,,,
6/25/1982,2,,6,7,,,,,1,0,34,,,,,,,,
7/2/1982,1,,11,3,,,,,2,0,10,,,,,,,,
7/9/1982,3,,3,1,,,,,1,1,11,,,,,,,,
7/16/1982,0,,0,0,,,,,1,0,11,,,,,,,,
7/23/1982,0,,0,2,,,,,0,0,0,,,,,,,,
7/30/1982,4,,0,0,,,,,1,0,0,,,,,,,,
8/6/1982,5,,5,6,,,,,4,6,8,,,,,,,,
8/13/1982,3,,3,3,,,,,4,3,5,,,,,,,,
8/20/1982,2,,1,6,,,,,0,0,13,,,,,,,,
8/27/1982,4,,5,5,,,,,5,1,24,,,,,,,,
9/3/1982,0,,7,7,,,,,7,6,15,,,,,,,,
9/10/1982,0,,0,0,,,,,0,1,0,,,,,,,,
9/17/1982,4,,0,0,,,,,0,0,2,,,,,,,,
9/24/1982,1,,0,0,,,,,0,0,3,,,,,,,,
10/4/1982,3,,0,0,,,,,0,4,2,,,,,,,,
10/11/1982,1,,0,0,,,,,0,0,5,,,,,,,,
5/27/1983,,,,,,,,,,,,,,,,,,,
6/3/1983,0,,,0,,,,,,0,0,,,,,,,,
6/10/1983,13,,,0,,,,,,0,0,,,,,,,,
6/17/1983,18,,,11,,,,,,2,3,,,,,,,,
6/24/1983,4,,,1,,,,,,1,2,,,,,,,,
7/1/1983,0,,,1,,,,,,0,1,,,,,,,,
7/8/1983,1,,,0,,,,,,0,1,,,,,,,,
7/15/1983,0,,,0,,,,,,0,0,,,,,,,,
7/22/1983,0,,,1,,,,,,2,0,,,,,,,,
7/29/1983,0,,,9,,,,,,0,2,,,,,,,,
8/5/1983,0,,,32,,,,,,0,4,,,,,,,,
8/12/1983,3,,,27,,,,,,1,3,,,,,,,,
8/19/1983,7,,,4,,,,,,0,2,,,,,,,,
8/26/1983,3,,,48,,,,,,1,5,,,,,,,,
9/2/1983,0,,,5,,,,,,0,0,,,,,,,,
9/9/1983,0,,,13,,,,,,0,3,,,,,,,,
9/16/1983,1,,,10,,,,,,3,1,,,,,,,,
9/23/1983,4,,,22,,,,,,6,0,,,,,,,,
9/30/1983,2,,,15,,,,,,8,1,,,,,,,,
10/28/1983,1,,,2,,,,,,7,0,,,,,,,,
6/1/1984,NA,,,NA,NA,,,,,,,,,,,,,,
6/8/1984,0,,,1,0,,,,,,,,,,,,,,
6/15/1984,3,,,17,3,,,,,,,,,,,,,,
6/22/1984,0,,,2,1,,,,,,,,,,,,,,
6/29/1984,0,,,2,0,,,,,,,,,,,,,,
7/6/1984,0,,,0,0,,,,,,,,,,,,,,
7/13/1984,0,,,0,0,,,,,,,,,,,,,,
7/20/1984,0,,,0,0,,,,,,,,,,,,,,
7/27/1984,1,,,4,0,,,,,,,,,,,,,,
8/3/1984,1,,,2,2,,,,,,,,,,,,,,
8/10/1984,1,,,6,3,,,,,,,,,,,,,,
8/17/1984,1,,,2,2,,,,,,,,,,,,,,
8/24/1984,2,,,2,0,,,,,,,,,,,,,,
9/1/1984,4,,,0,1,,,,,,,,,,,,,,
9/7/1984,0,,,1,2,,,,,,,,,,,,,,
9/14/1984,1,,,2,1,,,,,,,,,,,,,,
10/2/1984,12,,,8,10,,,,,,,,,,,,,,
5/24/1985,9,,,19,,,,,,,,,,,,,,,
5/31/1985,60,,,42,,,,,,,,,,,,,,,
6/7/1985,14,,,7,,,,,,,,,,,,,,,
6/14/1985,1,,,0,,,,,,,,,,,,,,,
6/21/1985,NA,,,,,,,,,,,,,,,,,,
6/28/1985,0,,,2,,,,,,,,,,,,,,,
7/5/1985,0,,,0,,,,,,,,,,,,,,,
7/12/1985,0,,,0,,,,,,,,,,,,,,,
7/19/1985,2,,,5,,,,,,,,,,,,,,,
7/26/1985,8,,,11,,,,,,,,,,,,,,,
8/2/1985,4,,,15,,,,,,,,,,,,,,,
8/9/1985,5,,,9,,,,,,,,,,,,,,,
8/16/1985,6,,,6,,,,,,,,,,,,,,,
8/23/1985,1,,,2,,,,,,,,,,,,,,,
8/30/1985,0,,,1,,,,,,,,,,,,,,,
9/6/1985,4,,,1,,,,,,,,,,,,,,,
9/13/1985,2,,,1,,,,,,,,,,,,,,,
9/20/1985,7,,,12,,,,,,,,,,,,,,,
10/4/1985,9,,,29,,,,,,,,,,,,,,,
5/25/1986,0,0,,,0,,,,,,,,,,,,,,
5/30/1986,11,0,,,0,,,,,,,,,,,,,,
6/6/1986,11,2,,,7,,,,,,,,,,,,,,
6/13/1986,6,0,,,3,,,,,,,,,,,,,,
6/20/1986,0,1,,,2,,,,,,,,,,,,,,
6/27/1986,1,0,,,3,,,,,,,,,,,,,,
7/3/1986,0,0,,,0,,,,,,,,,,,,,,
7/11/1986,0,0,,,0,,,,,,,,,,,,,,
7/18/1986,3,1,,,0,,,,,,,,,,,,,,
7/25/1986,9,9,,,1,,,,,,,,,,,,,,
8/1/1986,4,5,,,8,,,,,,,,,,,,,,
8/8/1986,3,1,,,0,,,,,,,,,,,,,,
8/15/1986,8,1,,,11,,,,,,,,,,,,,,
8/22/1986,0,0,,,1,,,,,,,,,,,,,,
8/29/1986,3,0,,,0,,,,,,,,,,,,,,
9/4/1986,0,0,,,1,,,,,,,,,,,,,,
9/12/1986,1,0,,,1,,,,,,,,,,,,,,
9/19/1986,8,0,,,4,,,,,,,,,,,,,,
5/29/1987,3,,,,0,,,,,,,,,,,,,,
6/5/1987,53,,,,3,,,,,,,,,,,,,,
6/12/1987,11,,,,4,,,,,,,,,,,,,,
6/19/1987,3,,,,0,,,,,,,,,,,,,,
6/26/1987,1,,,,0,,,,,,,,,,,,,,
7/2/1987,0,,,,1,,,,,,,,,,,,,,
7/10/1987,0,,,,0,,,,,,,,,,,,,,
7/17/1987,2,,,,0,,,,,,,,,,,,,,
7/24/1987,9,,,,9,,,,,,,,,,,,,,
7/31/1987,9,,,,6,,,,,,,,,,,,,,
8/7/1987,7,,,,5,,,,,,,,,,,,,,
8/14/1987,6,,,,3,,,,,,,,,,,,,,
8/21/1987,1,,,,4,,,,,,,,,,,,,,
8/28/1987,6,,,,2,,,,,,,,,,,,,,
9/4/1987,10,,,,1,,,,,,,,,,,,,,
9/11/1987,8,,,,0,,,,,,,,,,,,,,
9/18/1987,12,,,,9,,,,,,,,,,,,,,
9/25/1987,7,,,,12,,,,,,,,,,,,,,
10/2/1987,2,,,,3,,,,,,,,,,,,,,
5/20/1988,0,,,,0,,,,,,,,,,,,,,
5/27/1988,0,,,,0,,,,,,,,,,,,,,
6/3/1988,5,,,,0,,,,,,,,,,,,,,
6/10/1988,19,,,,4,,,,,,,,,,,,,,
6/17/1988,18,,,,6,,,,,,,,,,,,,,
6/24/1988,3,,,,0,,,,,,,,,,,,,,
7/1/1988,0,,,,1,,,,,,,,,,,,,,
7/8/1988,0,,,,0,,,,,,,,,,,,,,
7/15/1988,1,,,,1,,,,,,,,,,,,,,
7/22/1988,0,,,,0,,,,,,,,,,,,,,
7/29/1988,4,,,,0,,,,,,,,,,,,,,
8/5/1988,9,,,,0,,,,,,,,,,,,,,
8/12/1988,9,,,,1,,,,,,,,,,,,,,
8/19/1988,0,,,,2,,,,,,,,,,,,,,
8/26/1988,1,,,,0,,,,,,,,,,,,,,
9/2/1988,2,,,,0,,,,,,,,,,,,,,
9/9/1988,0,,,,0,,,,,,,,,,,,,,
9/16/1988,0,,,,0,,,,,,,,,,,,,,
6/2/1989,0,,,,0,,,,,,,,,,,,,,
6/9/1989,12,,,,0,,,,,,,,,,,,,,
6/16/1989,5,,,,0,,,,,,,,,,,,,,
6/23/1989,2,,,,0,,,,,,,,,,,,,,
6/30/1989,0,,,,0,,,,,,,,,,,,,,
7/7/1989,0,,,,0,,,,,,,,,,,,,,
7/14/1989,0,,,,0,,,,,,,,,,,,,,
7/21/1989,0,,,,0,,,,,,,,,,,,,,
7/28/1989,3,,,,0,,,,,,,,,,,,,,
8/4/1989,11,,,,1,,,,,,,,,,,,,,
8/11/1989,10,,,,3,,,,,,,,,,,,,,
8/18/1989,6,,,,1,,,,,,,,,,,,,,
8/25/1989,12,,,,8,,,,,,,,,,,,,,
9/1/1989,4,,,,0,,,,,,,,,,,,,,
9/8/1989,0,,,,0,,,,,,,,,,,,,,
9/15/1989,9,,,,0,,,,,,,,,,,,,,
5/25/1990,0,,,0,,,,,,,,,,,,,,,
6/1/1990,1,,,0,,,,,,,,,,,,,,,
6/8/1990,64,,,2,,,,,,,,,,,,,,,
6/15/1990,38,,,0,,,,,,,,,,,,,,,
6/22/1990,2,,,0,,,,,,,,,,,,,,,
6/29/1990,0,,,0,,,,,,,,,,,,,,,
7/6/1990,0,,,0,,,,,,,,,,,,,,,
7/13/1990,0,,,0,,,,,,,,,,,,,,,
7/20/1990,0,,,0,,,,,,,,,,,,,,,
7/27/1990,17,,,4,,,,,,,,,,,,,,,
8/3/1990,18,,,7,,,,,,,,,,,,,,,
8/10/1990,12,,,5,,,,,,,,,,,,,,,
8/17/1990,13,,,3,,,,,,,,,,,,,,,
8/24/1990,4,,,1,,,,,,,,,,,,,,,
8/31/1990,10,,,1,,,,,,,,,,,,,,,
9/7/1990,10,,,0,,,,,,,,,,,,,,,
9/14/1990,7,,,4,,,,,,,,,,,,,,,
9/25/1990,12,,,6,,,,,,,,,,,,,,,
10/5/1990,14,,,7,,,,,,,,,,,,,,,
3/15/1991,,,,,,,,,,,,,,,,,,,
3/22/1991,,,,,,,,,,,,,,,,,,,
3/29/1991,,,,,,,,,,,,,,,,,,,
4/5/1991,,,,,,,,,,,,,,,,,,,
4/12/1991,,,,,,,,,,,,,,,,,,,
4/19/1991,,,,,,,,,,,,,,,,,,,
4/26/1991,,,,,,,,,,,,,,,,,,,
5/3/1991,,,,,,,,,,,,,,,,,,,
5/10/1991,,,,,,,,,,,,,,,,,,,
5/17/1991,,,,,,,,,,,,,,,,,,,
5/24/1991,0,,,,0,,,,,,,,,,,,,,
5/31/1991,37,,,,2,,,,,,,,,,,,,,
6/7/1991,11,,,,1,,,,,,,,,,,,,,
6/14/1991,0,,,,0,,,,,,,,,,,,,,
6/21/1991,0,,,,0,,,,,,,,,,,,,,
6/28/1991,0,,,,0,,,,,,,,,,,,,,
7/5/1991,0,,,,0,,,,,,,,,,,,,,
7/12/1991,1,,,,0,,,,,,,,,,,,,,
7/19/1991,22,,,,3,,,,,,,,,,,,,,
7/26/1991,27,,,,11,,,,,,,,,,,,,,
8/2/1991,7,,,,2,,,,,,,,,,,,,,
8/9/1991,18,,,,5,,,,,,,,,,,,,,
8/16/1991,7,,,,0,,,,,,,,,,,,,,
8/23/1991,3,,,,0,,,,,,,,,,,,,,
8/30/1991,0,,,,0,,,,,,,,,,,,,,
9/6/1991,0,,,,0,,,,,,,,,,,,,,
9/13/1991,0,,,,0,,,,,,,,,,,,,,
9/20/1991,0,,,,0,,,,,,,,,,,,,,
9/27/1991,,,,,,,,,,,,,,,,,,,
10/4/1991,,,,,,,,,,,,,,,,,,,
10/11/1991,,,,,,,,,,,,,,,,,,,
10/18/1991,,,,,,,,,,,,,,,,,,,
10/25/1991,,,,,,,,,,,,,,,,,,,
11/1/1991,,,,,,,,,,,,,,,,,,,
4/3/1992,,,,,,,,,,,,,,,,,,,
4/10/1992,,,,,,,,,,,,,,,,,,,
4/17/1992,,,,,,,,,,,,,,,,,,,
4/24/1992,,,,,,,,,,,,,,,,,,,
5/1/1992,,,,,,,,,,,,,,,,,,,
5/8/1992,,,,,,,,,,,,,,,,,,,
5/15/1992,,,,,,,,,,,,,,,,,,,
5/22/1992,,,,,0,,,,,,,0,,,,,,,
5/29/1992,,,,,0,,,,,,,0,,,,,,,
6/5/1992,,,,,0,,,,,,,0,,,,,,,
