Date,CM.Block,Heck,Fred.1,Fred.2,Raff,Hall.Stand,Hall.Pydrin,Bill,Muss.1,Muss.2,Spur,SCM,Bvl.3
3/18/1981,0,NA,NA,,,NA,NA,,,,,,
3/19/1981,0,NA,NA,,,NA,NA,,,,,,
3/20/1981,0,NA,NA,,,NA,NA,,,,,,
3/21/1981,0,NA,NA,,,NA,NA,,,,,,
3/22/1981,0,NA,NA,,,NA,NA,,,,,,
3/23/1981,0,NA,NA,,,NA,NA,,,,,,
3/24/1981,0,NA,NA,,,NA,NA,,,,,,
3/25/1981,0,NA,NA,,,NA,NA,,,,,,
3/26/1981,0,NA,NA,,,NA,NA,,,,,,
3/27/1981,0,NA,NA,,,NA,NA,,,,,,
3/28/1981,0,NA,NA,,,NA,NA,,,,,,
3/29/1981,7,NA,NA,,,NA,NA,,,,,,
3/30/1981,14,NA,NA,,,NA,NA,,,,,,
4/6/1981,243,213,157,,,80,105,,,,,,
4/13/1981,57,98,29,,,37,26,,,,,,
4/20/1981,63,24,8,,,14,60,,,,,,
4/27/1981,67,13,4,,,21,9,,,,,,
5/4/1981,147,62,19,,,37,57,,,,,,
5/11/1981,26,61,7,,,16,18,,,,,,
5/13/1981,2,11,1,,,5,2,,,,,,
5/26/1981,0,0,0,,,0,2,,,,,,
6/1/1981,0,0,0,,,4,2,,,,,,
6/8/1981,3,0,0,,,0,0,,,,,,
6/15/1981,14,33,12,,,1,4,,,,,,
6/22/1981,9,25,12,,,20,30,,,,,,
6/29/1981,68,99,9,,,43,45,,,,,,
7/6/1981,7,12,5,,,19,23,,,,,,
7/13/1981,4,3,3,,,9,14,,,,,,
7/20/1981,0,0,0,,,1,3,,,,,,
7/27/1981,12,1,5,,,1,3,,,,,,
8/3/1981,19,16,4,,,0,0,,,,,,
8/10/1981,11,8,3,,,4,2,,,,,,
8/17/1981,7,23,2,,,2,2,,,,,,
8/24/1981,45,28,8,,,18,24,,,,,,
8/31/1981,22,6,7,,,18,36,,,,,,
9/8/1981,11,15,5,,,21,33,,,,,,
9/14/1981,4,15,7,,,10,10,,,,,,
9/21/1981,0,3,2,,,10,1,,,,,,
9/28/1981,0,0,1,,,0,2,,,,,,
10/8/1981,0,0,0,,,0,0,,,,,,
10/13/1981,0,0,0,,,0,0,,,,,,
3/23/1982,,,,,,,,,,,,,
3/25/1982,,,,,,,,,,,,,
3/27/1982,,,,,,,,,,,,,
3/29/1982,,,,,,,,,,,,,
3/31/1982,,,,,,,,,,,,,
4/1/1982,,,,,,,,,,,,,
4/2/1982,,,,,,,,,,,,,
4/3/1982,,,,,,,,1,,,,,
4/5/1982,,,,,,,,0,,,,,
4/12/1982,,,,,,,,0,,,,,
4/16/1982,26,45,2,6,,,,23,25,24,,,
4/23/1982,44,42,16,16,,,,48,48,54,,,
4/30/1982,101,95,25,23,,,,54,34,59,,,
5/7/1982,20,15,8,5,,,,12,11,13,,,
5/14/1982,17,46,5,5,,,,8,5,4,,,
5/21/1982,0,4,1,0,,,,0,0,0,,,
5/28/1982,0,0,0,0,,,,0,0,0,,,
6/4/1982,0,0,0,0,,,,0,0,0,,,
6/11/1982,0,0,0,0,,,,0,0,0,,,
6/18/1982,0,0,0,0,,,,9,4,2,,,
6/25/1982,40,48,13,6,,,,27,43,21,,,
7/2/1982,7,5,2,0,,,,7,0,7,,,
7/9/1982,3,2,2,2,,,,11,2,1,,,
7/16/1982,5,6,0,0,,,,13,1,1,,,
7/23/1982,1,1,0,1,,,,1,1,0,,,
7/30/1982,0,0,0,0,,,,0,0,0,,,
3/28/1983,0,,,,,,,,,,,,
3/29/1983,0,,,,,,,,,,,,
3/30/1983,0,,,,,,,,,,,,
3/31/1983,0,,,,,,,,,,,,
4/1/1983,0,,,,,,,,,,,,
4/2/1983,8,,,,,,,,,,,,
4/8/1983,85,,,,,,,,,,,,
4/15/1983,5,,4,,,,,,25,12,,,
4/22/1983,1,,1,,,,,,7,9,,,
4/29/1983,72,,5,,,,,,31,46,,,
5/6/1983,26,,8,,,,,,46,29,,,
5/13/1983,1,,5,,,,,,16,15,,,
5/20/1983,2,,0,,,,,,2,0,,,
5/27/1983,0,,0,,,,,,0,0,,,
6/3/1983,0,,0,,,,,,0,0,,,
6/10/1983,0,,0,,,,,,0,0,,,
6/17/1983,1,,1,,,,,,1,1,,,
6/24/1983,6,,2,,,,,,3,5,,,
7/1/1983,31,,7,,,,,,21,31,,,
7/8/1983,5,,2,,,,,,0,4,,,
7/15/1983,0,,1,,,,,,0,0,,,
7/22/1983,0,,1,,,,,,3,1,,,
7/29/1983,3,,0,,,,,,0,2,,,
8/5/1983,0,,0,,,,,,4,4,,,
8/12/1983,9,,1,,,,,,1,1,,,
8/19/1983,3,,3,,,,,,0,4,,,
8/26/1983,22,,16,,,,,,9,17,,,
9/2/1983,8,,1,,,,,,1,7,,,
9/9/1983,1,,1,,,,,,1,3,,,
9/16/1983,0,,0,,,,,,0,0,,,
9/23/1983,0,,0,,,,,,0,2,,,
9/30/1983,0,,0,,,,,,0,0,,,
3/30/1984,0,,NA,,NA,,,,,,,,
3/31/1984,0,,NA,,NA,,,,,,,,
4/2/1984,0,,NA,,NA,,,,,,,,
4/3/1984,3,,NA,,NA,,,,,,,,
4/6/1984,1,,NA,,NA,,,,,,,,
4/13/1984,35,,17,,6,,,,,,,,
4/20/1984,6,,5,,2,,,,,,,,
4/27/1984,12,,2,,0,,,,,,,,
5/4/1984,14,,4,,1,,,,,,,,
5/11/1984,0,,0,,0,,,,,,,,
5/18/1984,1,,1,,1,,,,,,,,
5/25/1984,0,,0,,1,,,,,,,,
6/1/1984,0,,0,,0,,,,,,,,
6/8/1984,0,,0,,0,,,,,,,,
6/15/1984,0,,0,,0,,,,,,,,
6/22/1984,0,,0,,0,,,,,,,,
6/29/1984,0,,0,,0,,,,,,,,
7/6/1984,0,,0,,4,,,,,,,,
7/13/1984,0,,0,,0,,,,,,,,
7/20/1984,2,,0,,0,,,,,,,,
7/27/1984,0,,0,,0,,,,,,,,
8/3/1984,2,,0,,0,,,,,,,,
8/10/1984,2,,1,,0,,,,,,,,
8/17/1984,2,,0,,0,,,,,,,,
8/24/1984,20,,12,,13,,,,,,,,
9/1/1984,0,,2,,0,,,,,,,,
9/7/1984,0,,5,,8,,,,,,,,
9/14/1984,2,,1,,7,,,,,,,,
10/2/1984,0,,7,,7,,,,,,,,
3/29/1985,192,,,,,,,,,,,,
4/5/1985,1,,84,,,,,,,,,,
4/12/1985,2,,3,,,,,,,,,,
