Date,CM.Block,Heck,Fred.1,Fred.2,Raff,Raff.2,Avl.1,Hall.Stand.1,Hall.Stand.2,Hall.Lors.1,Hall.Lors.2,Hall.Space.1,Hall.Space.2,Hall.Pydrin,Muss.1,Muss.2,Bill,USDA.B,USDA.W,Gesug.B,Gesug.W,BL.8,SCM,Spur,Bvl3,Bvl1,Bvl7,Bvl4,Bvl5
8/17/1981,67,68,58,NA,,,,50,,,,,,30,47,52,NA,,,,,,,,,,,,
8/20/1981,NA,NA,52,NA,,,,NA,,,,,,NA,43,58,NA,,,,,,,,,,,,
8/24/1981,61,44,21,NA,,,,40,,,,,,19,22,32,NA,,,,,,,,,,,,
8/27/1981,NA,NA,58,NA,,,,NA,,,,,,NA,43,59,NA,,,,,,,,,,,,
8/31/1981,72,133,20,NA,,,,58,,,,,,70,47,40,NA,,,,,,,,,,,,
9/3/1981,NA,NA,42,NA,,,,NA,,,,,,NA,50,42,NA,,,,,,,,,,,,
9/8/1981,119,267,94,NA,,,,128,,,,,,121,68,65,NA,,,,,,,,,,,,
9/10/1981,NA,NA,22,NA,,,,NA,,,,,,NA,25,47,NA,,,,,,,,,,,,
9/14/1981,73,30,54,NA,,,,35,,,,,,36,47,71,NA,,,,,,,,,,,,
9/17/1981,NA,NA,54,NA,,,,NA,,,,,,NA,51,43,NA,,,,,,,,,,,,
9/21/1981,46,52,20,NA,,,,34,,,,,,38,22,53,NA,,,,,,,,,,,,
9/24/1981,NA,NA,25,NA,,,,NA,,,,,,NA,25,15,NA,,,,,,,,,,,,
9/28/1981,34,66,18,NA,,,,47,,,,,,29,18,27,NA,,,,,,,,,,,,
10/2/1981,NA,NA,7,NA,,,,NA,,,,,,NA,4,11,NA,,,,,,,,,,,,
10/6/1981,6,17,7,NA,,,,9,,,,,,4,4,2,NA,,,,,,,,,,,,
10/13/1981,2,8,4,NA,,,,3,,,,,,5,2,1,NA,,,,,,,,,,,,
5/7/1982,0,0,0,0,,,,NA,,,,,,NA,0,0,0,,,,,,,,,,,,
5/14/1982,15,10,5,9,,,,NA,,,,,,NA,13,7,13,,,,,,,,,,,,
5/21/1982,64,51,44,51,,,,NA,,,,,,NA,85,42,56,,,,,,,,,,,,
5/28/1982,42,54,53,57,,,,NA,,,,,,NA,48,69,52,,,,,,,,,,,,
6/4/1982,33,56,114,NA,,,,NA,,,,,,NA,43,49,49,,,,,,,,,,,,
6/11/1982,23,61,148,NA,,,,NA,,,,,,NA,30,27,26,,,,,,,,,,,,
6/18/1982,29,59,35,NA,,,,NA,,,,,,NA,28,23,50,,,,,,,,,,,,
6/25/1982,15,105,132,NA,,,,NA,,,,,,NA,36,46,24,,,,,,,,,,,,
7/2/1982,2,39,32,NA,,,,NA,,,,,,NA,3,4,4,,,,,,,,,,,,
7/9/1982,0,11,6,NA,,,,NA,,,,,,NA,2,1,2,,,,,,,,,,,,
7/16/1982,0,2,2,NA,,,,NA,,,,,,NA,1,2,1,,,,,,,,,,,,
7/23/1982,3,4,28,NA,,,,NA,,,,,,NA,1,1,1,,,,,,,,,,,,
7/30/1982,16,16,50,NA,,,,NA,,,,,,NA,12,10,24,,,,,,,,,,,,
8/6/1982,24,47,115,NA,,,,NA,,,,,,NA,15,30,37,,,,,,,,,,,,
8/13/1982,53,77,207,NA,,,,NA,,,,,,NA,31,31,60,,,,,,,,,,,,
8/20/1982,22,107,113,NA,,,,NA,,,,,,NA,28,29,97,,,,,,,,,,,,
8/27/1982,37,104,246,NA,,,,NA,,,,,,NA,42,46,91,,,,,,,,,,,,
9/3/1982,36,92,144,NA,,,,NA,,,,,,NA,44,76,98,,,,,,,,,,,,
9/10/1982,72,124,173,NA,,,,NA,,,,,,NA,93,118,161,,,,,,,,,,,,
9/17/1982,31,75,189,NA,,,,NA,,,,,,NA,42,47,77,,,,,,,,,,,,
9/24/1982,10,92,144,NA,,,,NA,,,,,,NA,25,13,26,,,,,,,,,,,,
10/4/1982,16,139,127,NA,,,,NA,,,,,,NA,27,35,34,,,,,,,,,,,,
10/11/1982,6,55,11,NA,,,,NA,,,,,,NA,6,6,14,,,,,,,,,,,,
5/6/1983,0,,0,0,,,,NA,NA,,,,,,0,0,,,,,,,,,,,,,
5/13/1983,0,,1,0,,,,0,0,,,0,0,,0,0,,,,,,,,,,,,,
5/20/1983,10,,4,8,,,,1,1,,,0,0,,8,2,,,,,,,,,,,,,
5/27/1983,60,,68,69,,,,31,13,,,14,14,,57,51,,,,,,,,,,,,,
6/3/1983,23,,51,54,,,,21,19,,,51,21,,40,49,,,,,,,,,,,,,
6/10/1983,51,,100,82,,,,51,46,,,46,29,,51,49,,,,,,,,,,,,,
6/17/1983,15,,118,82,,,,58,41,,,36,30,,24,21,,,,,,,,,,,,,
6/24/1983,29,,116,73,,,,18,54,,,78,30,,28,25,,,,,,,,,,,,,
7/1/1983,7,,49,31,,,,10,10,,,18,10,,13,7,,,,,,,,,,,,,
7/8/1983,0,,2,2,,,,3,3,,,1,0,,0,0,,,,,,,,,,,,,
7/15/1983,0,,0,0,,,,4,1,,,2,0,,0,1,,,,,,,,,,,,,
7/22/1983,3,,4,4,,,,10,9,,,1,2,,2,5,,,,,,,,,,,,,
7/29/1983,5,,16,14,,,,6,3,,,2,1,,13,18,,,,,,,,,,,,,
8/5/1983,12,,12,15,,,,4,3,,,2,1,,13,16,,,,,,,,,,,,,
8/12/1983,37,,46,38,,,,,,,,,,,26,25,,,,,,,,,,,,,
8/19/1983,6,,49,27,,,,17,18,,,4,7,,11,17,,,,,,,,,,,,,
8/26/1983,32,,57,60,,,,12,10,,,15,19,,43,32,,,,,,,,,,,,,
9/2/1983,14,,24,17,,,,15,10,,,7,9,,19,36,,,,,,,,,,,,,
9/9/1983,11,,48,39,,,,8,5,,,3,7,,28,49,,,,,,,,,,,,,
9/16/1983,7,,94,34,,,,11,9,,,5,6,,13,30,,,,,,,,,,,,,
9/23/1983,6,,31,21,,,,15,19,,,18,25,,16,8,,,,,,,,,,,,,
9/30/1983,1,,13,4,,,,3,3,,,1,2,,7,6,,,,,,,,,,,,,
10/28/1983,8,,16,8,,,,NA,NA,,,NA,NA,,10,4,,,,,,,,,,,,,
5/4/1984,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/18/1984,0,,0,0,0,,,NA,NA,,,,,,,,,,,,,,,,,,,,
5/25/1984,9,,1,14,35,,,0,0,0,1,,,,,,,,,,,,,,,,,,
6/1/1984,33,,102,58,114,,,21,23,11,7,,,,79,71,,,,,,,,,,,,,
6/8/1984,35,,69,72,138,,,64,33,18,15,,,,53,63,,,,,,,,,,,,,
6/15/1984,41,,82,94,111,,,92,99,50,56,,,,92,69,,,,,,,,,,,,,
6/22/1984,29,,64,65,136,,,96,66,84,56,,,,39,43,,,,,,,,,,,,,
6/29/1984,8,,27,34,50,,,58,80,69,28,,,,17,16,,,,,,,,,,,,,
7/6/1984,3,,4,6,7,,,4,9,10,3,,,,8,2,,,,,,,,,,,,,
7/13/1984,0,,6,2,6,,,11,11,7,3,,,,5,6,,,,,,,,,,,,,
7/20/1984,0,,2,0,0,,,5,1,0,0,,,,0,0,,,,,,,,,,,,,
7/27/1984,6,,4,6,3,,,3,0,2,1,,,,7,0,,,,,,,,,,,,,
8/3/1984,0,,1,1,9,,,0,0,0,0,,,,3,0,,,,,,,,,,,,,
8/10/1984,25,,18,18,26,,,1,0,0,0,,,,22,13,,,,,,,,,,,,,
8/17/1984,30,,4,23,30,,,2,6,11,1,,,,29,25,,,,,,,,,,,,,
8/24/1984,23,,22,6,11,,,11,2,2,4,,,,11,3,,,,,,,,,,,,,
9/1/1984,58,,49,54,158,,,28,33,50,34,,,,35,44,,,,,,,,,,,,,
9/7/1984,24,,53,65,100,,,38,39,67,45,,,,24,36,,,,,,,,,,,,,
9/14/1984,27,,28,31,65,,,31,38,33,31,,,,11,22,,,,,,,,,,,,,
10/2/1984,8,,47,32,81,,,33,42,39,19,,,,9,8,,,,,,,,,,,,,
4/26/1985,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
5/3/1985,4,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,
5/10/1985,28,,42,,70,,,,,,,,,,,,,,,,,,,,,,,,
5/17/1985,31,,62,,81,,,,,,,,,,,,,,,,,,,,,,,,
5/24/1985,77,,114,,105,,,,,,,,,,,,,,,,,,,,,,,,
5/31/1985,68,,85,,74,,,,,,,,,,,,,,,,,,,,,,,,
